,alias,multipleImage,weekday,numberLikesCategory,amount_relevant_tags,moving_avg,numberPosts,numberFollowers,numberFollowing,website_available
131,changmakeup,False,Thursday,10,0,44858.4,1298,605348,426,1
132,changmakeup,False,Tuesday,10,2,47203.0,1298,605348,426,1
133,changmakeup,False,Sunday,10,0,47624.8,1298,605348,426,1
134,changmakeup,False,Tuesday,10,0,44065.2,1298,605348,426,1
135,changmakeup,False,Monday,10,0,52785.4,1298,605348,426,1
136,khivju,False,Thursday,10,0,24116.8,144,652689,327,0
137,khivju,False,Tuesday,10,0,17520.4,144,652689,327,0
140,khivju,False,Monday,10,0,21509.8,144,652689,327,0
141,khivju,False,Tuesday,10,0,33834.8,144,652689,327,0
143,khivju,False,Sunday,10,0,22515.8,144,652689,327,0
146,khivju,False,Wednesday,10,0,21601.8,144,652689,327,0
147,khivju,False,Monday,10,0,24708.4,144,652689,327,0
148,khivju,False,Friday,9,3,33009.6,144,652689,327,0
149,khivju,False,Saturday,9,0,29527.2,144,652689,327,0
150,khivju,False,Monday,9,0,21509.8,144,652689,327,0
151,khivju,False,Wednesday,9,0,27504.0,144,652689,327,0
152,khivju,False,Friday,5,0,25940.8,144,652689,327,0
154,jaydepierce,False,Sunday,10,0,31472.0,817,937638,225,1
155,jaydepierce,False,Saturday,10,0,27035.4,817,937638,225,1
158,jaydepierce,False,Friday,10,0,30806.8,817,937638,225,1
159,jaydepierce,False,Sunday,10,0,30384.2,817,937638,225,1
160,jaydepierce,False,Monday,10,0,36418.0,817,937638,225,1
161,jaydepierce,False,Wednesday,10,0,26326.2,817,937638,225,1
163,jaydepierce,False,Wednesday,10,0,26326.2,817,937638,225,1
164,jaydepierce,False,Friday,10,0,30806.8,817,937638,225,1
165,jaydepierce,False,Friday,10,0,30806.8,817,937638,225,1
166,jaydepierce,False,Saturday,10,0,34379.0,817,937638,225,1
167,jaydepierce,False,Sunday,9,0,31472.0,817,937638,225,1
169,jaydepierce,False,Tuesday,8,0,30147.4,817,937638,225,1
171,tonnyboom,False,Thursday,10,0,11802.0,1395,763498,627,1
172,tonnyboom,False,Wednesday,10,0,27724.6,1395,763498,627,1
173,tonnyboom,False,Monday,10,0,23815.6,1395,763498,627,1
174,tonnyboom,False,Saturday,10,0,22206.2,1395,763498,627,1
177,tonnyboom,False,Sunday,10,0,17146.2,1395,763498,627,1
178,tonnyboom,False,Tuesday,9,0,19134.0,1395,763498,627,1
179,tonnyboom,False,Friday,9,0,15905.6,1395,763498,627,1
181,tonnyboom,False,Saturday,9,0,21925.8,1395,763498,627,1
182,tonnyboom,False,Saturday,8,0,28423.2,1395,763498,627,1
183,tonnyboom,True,Sunday,8,0,27283.6,1395,763498,627,1
185,tonnyboom,False,Friday,4,0,30553.4,1395,763498,627,1
186,tonnyboom,False,Saturday,4,0,28423.2,1395,763498,627,1
187,hosico_cat,False,Monday,10,0,42557.6,756,586640,278,1
188,hosico_cat,False,Wednesday,10,0,43987.6,756,586640,278,1
189,hosico_cat,False,Saturday,10,0,36954.4,756,586640,278,1
191,hosico_cat,False,Tuesday,10,0,44366.6,756,586640,278,1
194,hosico_cat,False,Sunday,10,0,38848.2,756,586640,278,1
195,hosico_cat,False,Sunday,10,0,47262.8,756,586640,278,1
196,hosico_cat,False,Thursday,10,0,39312.2,756,586640,278,1
197,hosico_cat,False,Monday,10,0,44731.0,756,586640,278,1
198,hosico_cat,False,Saturday,10,0,47032.4,756,586640,278,1
199,hosico_cat,False,Wednesday,10,0,42782.0,756,586640,278,1
201,hosico_cat,True,Thursday,10,0,45765.2,756,586640,278,1
203,hosico_cat,True,Thursday,10,0,39312.2,756,586640,278,1
204,jamesgunn,True,Thursday,10,0,23945.8,2623,451404,180,1
205,jamesgunn,False,Friday,10,0,27472.6,2623,451404,180,1
206,jamesgunn,False,Tuesday,10,0,18416.8,2623,451404,180,1
207,jamesgunn,False,Wednesday,10,0,22559.6,2623,451404,180,1
208,jamesgunn,False,Monday,10,0,14777.2,2623,451404,180,1
210,jamesgunn,False,Monday,10,0,14777.2,2623,451404,180,1
211,jamesgunn,False,Thursday,10,0,23945.8,2623,451404,180,1
212,jamesgunn,False,Wednesday,10,0,22559.6,2623,451404,180,1
213,jamesgunn,False,Thursday,9,0,23945.8,2623,451404,180,1
216,jamesgunn,False,Saturday,9,0,31635.4,2623,451404,180,1
217,jamesgunn,False,Sunday,9,0,28464.6,2623,451404,180,1
218,jamesgunn,False,Saturday,9,0,31635.4,2623,451404,180,1
221,artofvisuals,False,Saturday,10,0,46220.0,3457,933864,723,1
222,artofvisuals,False,Friday,10,0,35229.4,3457,933864,723,1
223,artofvisuals,False,Friday,10,0,35229.4,3457,933864,723,1
224,artofvisuals,False,Friday,10,0,35229.4,3457,933864,723,1
225,artofvisuals,False,Saturday,10,0,46220.0,3457,933864,723,1
233,artofvisuals,False,Sunday,10,0,50687.4,3457,933864,723,1
235,artofvisuals,False,Sunday,10,0,50687.4,3457,933864,723,1
236,artofvisuals,False,Sunday,10,0,50687.4,3457,933864,723,1
237,artofvisuals,False,Sunday,5,0,50687.4,3457,933864,723,1
240,frasesdem3rda,False,Friday,10,0,37792.6,2475,479108,133,1
241,frasesdem3rda,False,Saturday,10,0,39550.2,2475,479108,133,1
242,frasesdem3rda,False,Friday,10,0,37792.6,2475,479108,133,1
243,frasesdem3rda,False,Friday,10,0,37792.6,2475,479108,133,1
244,frasesdem3rda,False,Saturday,10,0,39550.2,2475,479108,133,1
247,frasesdem3rda,False,Saturday,10,0,39550.2,2475,479108,133,1
249,frasesdem3rda,False,Saturday,10,0,39550.2,2475,479108,133,1
250,frasesdem3rda,False,Saturday,10,0,39550.2,2475,479108,133,1
251,frasesdem3rda,False,Sunday,10,0,32755.8,2475,479108,133,1
253,frasesdem3rda,False,Friday,10,0,37792.6,2475,479108,133,1
254,frasesdem3rda,False,Sunday,10,0,32755.8,2475,479108,133,1
255,hotdudesreading,False,Wednesday,10,0,28975.0,295,927939,0,1
256,hotdudesreading,False,Monday,10,0,29336.4,295,927939,0,1
257,hotdudesreading,False,Sunday,10,0,33334.0,295,927939,0,1
259,hotdudesreading,False,Sunday,10,0,31116.6,295,927939,0,1
260,hotdudesreading,False,Thursday,10,0,37136.8,295,927939,0,1
261,hotdudesreading,False,Tuesday,10,0,30980.2,295,927939,0,1
265,hotdudesreading,True,Tuesday,10,0,31129.2,295,927939,0,1
266,hotdudesreading,False,Wednesday,10,0,31250.2,295,927939,0,1
267,hotdudesreading,False,Friday,10,0,27778.4,295,927939,0,1
268,hotdudesreading,False,Tuesday,10,0,30198.8,295,927939,0,1
270,hotdudesreading,False,Tuesday,9,0,33765.6,295,927939,0,1
271,hotdudesreading,False,Tuesday,9,0,33702.4,295,927939,0,1
274,1misssmeis,False,Sunday,10,0,31262.2,988,720979,233,1
275,1misssmeis,False,Thursday,10,0,30119.2,988,720979,233,1
